-4	30
-22	33
-20	33
-9	31
-2	14
-1	-11
-4	-21
-2	-21
0	-21
2	-19
2	-18
5	-7
21	13
31	39
-11	65
6	-19
-17	13
-16	13
-3	13
4	-3
6	-5
4	-5
0	-1
-88	-8
-8	55
50	35
24	-4
7	-2
-43	14
18	7
6	0
8	0
4	12
-15	-10
71	-21
35	-23
15	-25
11	-24
8	-23
42	23
-22	16
-17	16
-1	14
-1	14
-89	-32
-87	-38
-73	-36
-17	53
52	41
49	38
-31	53
-31	54
45	-53
73	-1
-18	-47
-29	-45
-28	-36
0	-36
7	-32
15	-34
-16	-23
-18	-24
-14	-24
2	-29
11	-30
21	-25
18	-33
34	-42
36	-43
14	-38
-4	-37
71	-47
-77	-83
80	-75
16	33
12	37
37	81
45	85
26	86
-14	50
-29	-9
-27	-13
-2	-12
28	-10
76	3
71	1
22	10
-16	12
-34	11
-27	10
-39	20
65	58
51	62
-9	-45
-10	-40
-14	-33
27	-26
55	-12
42	-3
-49	-1
-69	1
57	-52
24	-45
-88	25
-69	8
73	-30
75	29
-67	-3
-55	-14
-22	-8
9	-1
17	-2
73	-11
50	-4
7	2
-7	1
-28	-15
-28	-14
-20	-14
-28	16
59	6
39	1
-61	12
-67	16
-47	8
4	-1
58	6
42	10
93	8
21	-52
-92	-9
-44	-11
-8	-15
-17	-15
-3	5
34	-1
49	-16
-45	35
22	36
-13	15
-8	15
7	-1
100	-18
96	-19
44	-13
31	5
66	2
-94	16
-91	14
19	2
-14	-65
59	10
109	3
53	1
44	3
-85	9
-78	14
-106	21
-45	11
-28	-30
-5	41
10	-22
8	-19
12	-19
32	-18
61	-23
73	-19
88	0
-88	30
-96	29
-74	28
109	7
42	6
16	35
